id,Text,positive,neutral,negative,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust
1370044456842493954,Do fasting mimicking diets during chemotherapy work? Check out my analysis on this blog. #fasting #Cancer #CancerResearch http,0.0687,0.9167,0.0147,0.03205614909529686,0.596309244632721,0.0589810274541378,0.1396697610616684,0.13207228481769562,0.008830503560602665,0.6169301867485046,0.09505916386842728,0.0880550965666771,0.04444379359483719,0.09343700855970383
794281747043250176,#fasting may improve #cancer #treatment but needs further exploration #cancerresearch http,0.2139,0.7696,0.0165,0.022058330476284027,0.5416297912597656,0.033564191311597824,0.13542844355106354,0.15215741097927094,0.010924991220235825,0.6837607622146606,0.056416843086481094,0.043668393045663834,0.03043387085199356,0.1133066713809967
1148806240010588161,"Take notes.

Order your seamoss and receive 90% of all needed nutrients.

https://t.co/HMVfTjKFGZ

#naturalehealing #healthyfood #shipping #import #carribean  #patrickdelves #worldwide #mango #cancer #fasting #herbs… http",0.4252,0.5571,0.0178,0.02706746943295002,0.22804705798625946,0.020704034715890884,0.013944375328719616,0.8117920756340027,0.02659815549850464,0.8960005640983582,0.012077772058546543,0.018877483904361725,0.017471568658947945,0.11354256421327591
643251385035657216,If you've ever been affected by #cancer #MUSTREAD #FASTING Fasting Triggers Stem Cell Regeneration &amp; Fights Cancer - http,0.0503,0.8259,0.1238,0.18610595166683197,0.09780439734458923,0.2934711277484894,0.6113948225975037,0.008646172471344471,0.003616203786805272,0.17557084560394287,0.4752575755119324,0.6858234405517578,0.010338002815842628,0.016174407675862312
1295469082221981696,The latest The STEM Daily! http #fasting #cancer,0.0956,0.8682,0.0362,0.06915715336799622,0.07482864707708359,0.15639188885688782,0.22089314460754395,0.04499098286032677,0.004763597622513771,0.10737583041191101,0.2116931825876236,0.5855726599693298,0.010271665640175343,0.006689716130495071
817485944110665728,RT @user Study shows #fasting kills #Cancer cells of common childhood #Leukemia. #ECN: http,0.0243,0.6682,0.3075,0.042462244629859924,0.38017019629478455,0.09664302319288254,0.2506089508533478,0.05304543673992157,0.004659420344978571,0.10427285730838776,0.0754987895488739,0.09864597767591476,0.040734026581048965,0.018113862723112106
1443356453822152704,"Interesting read on #fasting and exercise in regards to #cancer in #oncology 

They help control AMPK, mTOR, IGF-1, Autophagy, which are all important biomarkers in regards to better outcomes.

https://t.co/oKo5rJ1XuD",0.7516,0.2397,0.0087,0.023238888010382652,0.7201563119888306,0.022973226383328438,0.04243527725338936,0.8723605871200562,0.04123231768608093,0.7567574977874756,0.013571549206972122,0.010386754758656025,0.1421993225812912,0.19978098571300507
478124104785346561,"Benefits of #fasting help kill #cancer #cells.
http://t.co/sSCYKGertU http",0.6401,0.3465,0.0134,0.046035680919885635,0.21256323158740997,0.023645078763365746,0.015880407765507698,0.8136276602745056,0.04100235551595688,0.9146114587783813,0.010581630282104015,0.01279107853770256,0.016946587711572647,0.16611462831497192
673259304124858368,Interesting discussion with Dom D'Agostino and Tim Ferriss #fasting #ketosis #cancer http,0.4776,0.5136,0.0088,0.028685573488473892,0.45429524779319763,0.029398996382951736,0.09830401837825775,0.9239784479141235,0.04779796674847603,0.7768373489379883,0.010578202083706856,0.009955777786672115,0.10441458970308304,0.11261504143476486
752843032106524672,Strategies to mimic #fasting during chemotherapy enhance anticancer T cell activity in mice - #cancer http,0.0859,0.861,0.0531,0.024221766740083694,0.4027498662471771,0.03252602368593216,0.04127488657832146,0.3308888375759125,0.01558749470859766,0.6509383916854858,0.03485322371125221,0.04307888448238373,0.03245371952652931,0.08180877566337585
881622971156226049,"#Cancer Prevention - A Week of #Fasting: Day 7 - VIDEO-&gt; http 
#CancerPrevention #CancerTreatment #Chemo #Chemotherapy http",0.0712,0.9132,0.0156,0.0236887875944376,0.39446404576301575,0.03630818799138069,0.32270580530166626,0.20089596509933472,0.007752121426165104,0.629332959651947,0.04637608677148819,0.04983565956354141,0.018383968621492386,0.058076411485672
255743496076546048,Did great with my #Fasting today. Supported a lady that has #Cancer &amp; is going through surgery. #Support,0.9657,0.0304,0.0039,0.016241515055298805,0.05696765333414078,0.01924486830830574,0.07507752627134323,0.8720712661743164,0.13340042531490326,0.9536437392234802,0.032925084233284,0.17747150361537933,0.010815183632075787,0.10365601629018784
1269906950155669505,"Benefits of  intermittent #fasting;

1.#weight loss
2.prevention and reversal of #prediabetes and type 2 diabetes.
https://t.co/El3cGLNDgK #PCOS management.
4.#Autophagy -#Anti-aging effects.
5.Helps prevent #cancer onset.
6.Improvement in #guthealth. http",0.3607,0.6117,0.0276,0.03214041516184807,0.21743325889110565,0.025213167071342468,0.026613328605890274,0.5604430437088013,0.023262355476617813,0.9449558258056641,0.02857234701514244,0.03914104402065277,0.011020968668162823,0.18065738677978516
167360950389837826,RT @user via @user : #Fasting weakens #cancer in mice. http #SciTM,0.0325,0.8661,0.1014,0.06928300112485886,0.33575108647346497,0.09715370088815689,0.04695812985301018,0.07356446236371994,0.005743658635765314,0.32135775685310364,0.05780824273824692,0.0838581770658493,0.02156440168619156,0.03511824086308479
951840870180978690,"A growing number of experts claim #fasting can accelerate #fatloss and make you #healthier, but new studies show that it can also #fight #cancer. Check out  the article below. #nowyouknow #Friday
https://t.co/AAnrB6LylU http",0.7405,0.2524,0.0071,0.01884695142507553,0.3012593686580658,0.01929820142686367,0.41961342096328735,0.25366130471229553,0.024688389152288437,0.9426314234733582,0.06108565628528595,0.05820971727371216,0.014392763376235962,0.21611960232257843
1303085864252137472,"Autophagy &amp; Fasting

Many experts agree that autophagy process initiates in humans after 18-20 hours fasting, w/ maximal benefits occurring at 48–72 hours 

#fasting #autophagy #cancer #diabetes #fact #science 

Trigger ""Cell Cleanup"" by ""Fasting"" for 2 or 3 days !",0.2247,0.7488,0.0264,0.07094061374664307,0.3699808418750763,0.06657387316226959,0.014219144359230995,0.48503804206848145,0.009409771300852299,0.7390890717506409,0.027616143226623535,0.03752104938030243,0.02609845995903015,0.07132892310619354
900559847120224256,“Fasting and Hyperinsulinemia” by @user http #fasting #cancer #insulin,0.0398,0.9241,0.0361,0.09924077987670898,0.1371292620897293,0.19402433931827545,0.11699728667736053,0.033746182918548584,0.0028084740042686462,0.14568036794662476,0.16590017080307007,0.34092220664024353,0.009026343002915382,0.008961821906268597
1109039408471248896,"We evolved from millions of yrs of walking endlessly n #fasting regularly. The consequences of being sedentary and eating too often are so apparent.
A great baselins to aim for:
Take 10k steps/day
Restrict your eating window to 12 hrs
Fight #obesity #diabetes #alzheimers #cancer http",0.0646,0.6246,0.3108,0.13365674018859863,0.12671054899692535,0.17638500034809113,0.10679470747709274,0.04409301280975342,0.007228385657072067,0.7598064541816711,0.37612515687942505,0.6251695156097412,0.007592043373733759,0.053975749760866165
940689224310935553,"#Fasting will cure #Cancer ... every time.  You’ll never hear about it in #America, tho.",0.3115,0.4586,0.2299,0.21955586969852448,0.3436587452888489,0.2208685725927353,0.06447815895080566,0.06669948250055313,0.004578093066811562,0.8147010207176208,0.14297530055046082,0.13017220795154572,0.015105006285011768,0.07858071476221085
1252344355114725379,"FASTING FOR THREE DAYS RENEWS ENTIRE IMMUNE SYSTEM
Health Benefits of Fasting Are Far More Than We Can Guess!
 
https://t.co/tzttiD6VpY

#Fasting #ImmuneSystem #Cancer #COVID19 #God http",0.8826,0.1119,0.0055,0.06257105618715286,0.17278525233268738,0.03377160057425499,0.14079809188842773,0.611591100692749,0.024518674239516258,0.9655928015708923,0.020001688972115517,0.021618571132421494,0.015245005488395691,0.1838725209236145
1007281558439583744,"Because of #fasting's effect on autophagy, many researchers believe that this diet can help #cancer patients undergoing chemo.
https://t.co/YFuPDAfE1h",0.621,0.3704,0.0086,0.022227022796869278,0.6344372630119324,0.02152683399617672,0.06911493837833405,0.5702060461044312,0.02225680649280548,0.8871738910675049,0.02403985522687435,0.01954726129770279,0.04112967476248741,0.21868003904819489
1139359336784900097,"Natural ways to fight #cancer w/ nutrition, #essentialoils, #homeopathy, #detox, #fasting and more. #anticancerrevolution http http",0.3271,0.6514,0.0215,0.032552968710660934,0.2246229350566864,0.020545996725559235,0.11745884269475937,0.49020111560821533,0.02935112453997135,0.9498497843742371,0.02461879514157772,0.02780887670814991,0.011216032318770885,0.21650958061218262
983365045643038721,"Ya'll totally need to check out this #awesome chat about the ""whys"" and ""how to's"" of intermittent #fasting &amp; cyclical feeding (what is that, right?!) and why it is the #cuttingedge approach in #chronicillness and #cancer ! 
April 11 @user EDT
RSVP: http http",0.88,0.1152,0.0048,0.037520188838243484,0.7287938594818115,0.05171312019228935,0.022495392709970474,0.8293918967247009,0.023601870983839035,0.506433367729187,0.020652150735259056,0.021662835031747818,0.19208693504333496,0.10152070224285126
582662601315721216,Clinical research into #fasting and how it relates to cancer treatment http #health #cancer http,0.0361,0.9343,0.0296,0.017922909930348396,0.502497136592865,0.04584970697760582,0.1867094486951828,0.08735021203756332,0.007111044600605965,0.29100680351257324,0.1035558208823204,0.12743152678012848,0.037645794451236725,0.04560207948088646
662033867381936128,"Dom D’Agostino on #Fasting, #Ketosis, and the End of #Cancer | http @user @user",0.0498,0.9188,0.0313,0.01869875192642212,0.267422080039978,0.04994654282927513,0.18903273344039917,0.0870591253042221,0.007999002002179623,0.5274835228919983,0.1744014322757721,0.328654944896698,0.011442839168012142,0.03365418687462807
1210118841994481665,"#OncoAlert Effects of Intermittent #Fasting on #Health, #Aging, and #Disease | ⁦@NEJM⁩ #cancer  http",0.0265,0.8331,0.1405,0.07185114175081253,0.12287670373916626,0.17055699229240417,0.10539331287145615,0.036126334220170975,0.0037675159983336926,0.1735771745443344,0.31664910912513733,0.6419220566749573,0.0107353450730443,0.01073357742279768
437896134418124800,Fasting starves the cancer more than the patient http #cancer #fasting #carlorierestriction #health #ValterLongo,0.0146,0.277,0.7084,0.047070279717445374,0.20597101747989655,0.09884020686149597,0.048747479915618896,0.05440501868724823,0.005200259853154421,0.4667941927909851,0.2354762852191925,0.46826061606407166,0.008447583764791489,0.026268629357218742
985048360515260417,"""Across the board, the #fasting patients [with cancer] reported less severe side effects in fourteen different categories.""
Tripping over the Truth by Travis Christofferson - http #nutrition #wellness #science #cancer #CancerResearch #Cancerprevention",0.2722,0.7111,0.0167,0.03143514692783356,0.28814321756362915,0.04444050416350365,0.0670754685997963,0.32068800926208496,0.008874387480318546,0.8496670126914978,0.05407407879829407,0.0955606997013092,0.01428726501762867,0.07017455250024796
1294695882726805504,"Whole Body Healing is bringing balance in your Mind, Body and Soul. Water only fasting is the best intervention.
#water #fasting #cancer #healing 
https://t.co/HRnN0zSWQt http",0.8567,0.1357,0.0076,0.03034200519323349,0.16671313345432281,0.023157591000199318,0.03525009751319885,0.3648649752140045,0.039811570197343826,0.9713642001152039,0.054676588624715805,0.10830653458833694,0.007952644489705563,0.27604737877845764
1401887428458299396,Is a fast good for detoxing? http #fasting #detox #detoxification #diet #nutrition #cancer http,0.1161,0.8506,0.0333,0.031250011175870895,0.25800031423568726,0.0583503432571888,0.07941016554832458,0.09780734032392502,0.006363473832607269,0.6947278380393982,0.1473327875137329,0.25282007455825806,0.009490889497101307,0.0485491007566452
981432632885088257,"I personally do #keto #diet alongside #fasting There are multiple benefits including increasing #muscle #gainz #testosterone &amp; #fatloss so ideal for #bodybuilding results, reducing risk of #Cancer #diabetes #cardiovascular issues. http",0.887,0.1074,0.0056,0.029316747561097145,0.13786838948726654,0.028608739376068115,0.626513659954071,0.5661444067955017,0.03178505599498749,0.9278751015663147,0.03218350186944008,0.03611550107598305,0.012554380111396313,0.12436987459659576
850398926352130048,Fasting Talk (Episode 14): @user  On The Latest Developments With #Fasting And #Cancer: http http,0.0546,0.9367,0.0087,0.018519697710871696,0.3434865474700928,0.0548279695212841,0.17114731669425964,0.0914163589477539,0.008039972744882107,0.5724226832389832,0.2501548230648041,0.46747100353240967,0.015020277351140976,0.04022059962153435
480395886048968704,#Fasting Helps #Cancer Patients Survive #Chemotherapy —   #Singularity Hub http,0.6467,0.348,0.0052,0.024906085804104805,0.26996660232543945,0.028997749090194702,0.29873859882354736,0.13289874792099,0.012023397721350193,0.8653284311294556,0.08826641738414764,0.10823997110128403,0.00959827657788992,0.1016126424074173
1048687400334057472,"#Repost plantifulfacts
•  •  •  •  •
#drsebi #food #healer #naturalremedy #herbs #minerals #nature #wholefoods #vegan #toxins 
#cancer #cancercure #curecancer #herbalmedicine #fasting… http",0.4198,0.5642,0.016,0.024602210149168968,0.15229547023773193,0.019435454159975052,0.030531946569681168,0.6593596339225769,0.025183212012052536,0.9203664064407349,0.019187256693840027,0.03263002634048462,0.008562486618757248,0.10904224961996078
