id,Text,positive,neutral,negative,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,Sentiment,Emotion
1370044456842493954,Do fasting mimicking diets during chemotherapy work? Check out my analysis on this blog. #fasting #Cancer #CancerResearch http,0.0687,0.9167,0.0147,0.0320561490952968,0.596309244632721,0.0589810274541378,0.1396697610616684,0.1320722848176956,0.0088305035606026,0.6169301867485046,0.0950591638684272,0.0880550965666771,0.0444437935948371,0.0934370085597038,neutral,optimism
794281747043250176,#fasting may improve #cancer #treatment but needs further exploration #cancerresearch http,0.2139,0.7696,0.0165,0.022058330476284,0.5416297912597656,0.0335641913115978,0.1354284435510635,0.1521574109792709,0.0109249912202358,0.6837607622146606,0.056416843086481,0.0436683930456638,0.0304338708519935,0.1133066713809967,neutral,optimism
1148806240010588161,"Take notes.

Order your seamoss and receive 90% of all needed nutrients.

https://t.co/HMVfTjKFGZ

#naturalehealing #healthyfood #shipping #import #carribean  #patrickdelves #worldwide #mango #cancer #fasting #herbs http",0.4252,0.5571,0.0178,0.02706746943295,0.2280470579862594,0.0207040347158908,0.0139443753287196,0.8117920756340027,0.0265981554985046,0.8960005640983582,0.0120777720585465,0.0188774839043617,0.0174715686589479,0.1135425642132759,neutral,optimism
643251385035657216,If you've ever been affected by #cancer #MUSTREAD #FASTING Fasting Triggers Stem Cell Regeneration &amp; Fights Cancer - http,0.0503,0.8259,0.1238,0.1861059516668319,0.0978043973445892,0.2934711277484894,0.6113948225975037,0.0086461724713444,0.0036162037868052,0.1755708456039428,0.4752575755119324,0.6858234405517578,0.0103380028158426,0.0161744076758623,neutral,sadness
1295469082221981696,The latest The STEM Daily! http #fasting #cancer,0.0956,0.8682,0.0362,0.0691571533679962,0.0748286470770835,0.1563918888568878,0.2208931446075439,0.0449909828603267,0.0047635976225137,0.107375830411911,0.2116931825876236,0.5855726599693298,0.0102716656401753,0.006689716130495,neutral,sadness
817485944110665728,RT @user Study shows #fasting kills #Cancer cells of common childhood #Leukemia. #ECN: http,0.0243,0.6682,0.3075,0.0424622446298599,0.3801701962947845,0.0966430231928825,0.2506089508533478,0.0530454367399215,0.0046594203449785,0.1042728573083877,0.0754987895488739,0.0986459776759147,0.0407340265810489,0.0181138627231121,neutral,anticipation
1443356453822152704,"Interesting read on #fasting and exercise in regards to #cancer in #oncology 

They help control AMPK, mTOR, IGF-1, Autophagy, which are all important biomarkers in regards to better outcomes.

https://t.co/oKo5rJ1XuD",0.7516,0.2397,0.0087,0.0232388880103826,0.7201563119888306,0.0229732263833284,0.0424352772533893,0.8723605871200562,0.0412323176860809,0.7567574977874756,0.0135715492069721,0.010386754758656,0.1421993225812912,0.199780985713005,pos,joy
478124104785346561,"Benefits of #fasting help kill #cancer #cells.
http://t.co/sSCYKGertU http",0.6401,0.3465,0.0134,0.0460356809198856,0.2125632315874099,0.0236450787633657,0.0158804077655076,0.8136276602745056,0.0410023555159568,0.9146114587783812,0.010581630282104,0.0127910785377025,0.0169465877115726,0.1661146283149719,pos,optimism
673259304124858368,Interesting discussion with Dom D'Agostino and Tim Ferriss #fasting #ketosis #cancer http,0.4776,0.5136,0.0088,0.0286855734884738,0.4542952477931976,0.0293989963829517,0.0983040183782577,0.9239784479141236,0.047797966748476,0.7768373489379883,0.0105782020837068,0.0099557777866721,0.104414589703083,0.1126150414347648,neutral,joy
752843032106524672,Strategies to mimic #fasting during chemotherapy enhance anticancer T cell activity in mice - #cancer http,0.0859,0.861,0.0531,0.0242217667400836,0.4027498662471771,0.0325260236859321,0.0412748865783214,0.3308888375759125,0.0155874947085976,0.6509383916854858,0.0348532237112522,0.0430788844823837,0.0324537195265293,0.0818087756633758,neutral,optimism
